Rubro;Descripcion;Rubro_Padre;Activo;Orden;RubroNuevoID;MensajeBaja
501;THERMO SWITCH;500;Y;75;\N;\N
502;BULONES Y TUERCAS DE RUEDA;500;Y;12;\N;\N
503;SUSPENSION - PRECAPS;500;Y;58;\N;
504;FRENO  - DISCOS DE - 555;500;Y;33;\N;\N
505;BOMBA DE NAFTA - NUK;500;Y;6;\N;\N
507;FAROS - OPTICAS - TYC-DEPO;500;Y;30;\N;\N
508;SENSORES;500;Y;55;\N;\N
509;FAROS -  VARIOS;500;Y;29;\N;\N
510;BOMBA DE NAFTA - FILTRO DE;500;Y;7;\N;\N
511;SUSPENSION - BRAZO AUXILIAR;500;Y;59;\N;\N
512;BUJIAS - CABLES DE;500;Y;8;\N;\N
513;EMBRAGUE - BOMBAS DE - BGF;500;Y;22;\N;\N
514;REPUESTOS VARIOS KOREA LEGITIMOS;500;Y;52;\N;\N
515;CLIPS;500;Y;14;\N;\N
516;TAPAS DE RADIADOR Y ACEITE;500;Y;50;\N;
517;TAPAS Y ROTORES DE DISTRIBUIDOR;500;Y;73;\N;\N
518;SUSPENSION - ROTULAS;500;Y;57;\N;
519;SUSPENSION - BRAZO TENSOR;500;Y;63;\N;\N
520;PATAS DE MOTOR , CAJA Y CAZOLETAS;500;Y;48;\N;\N
521;FRENO - CILINDROS DE - BGF;500;Y;32;\N;\N
522;SUSPENSION - PARRILAS DE;500;Y;68;\N;\N
524;ENGRANAJES DE CAJA;500;Y;25;\N;\N
526;SUSPENSION - EXTREMO DE  - 555;500;Y;56;\N;
527;SUSPENSION . CRUCETAS;500;Y;66;\N;\N
529;SUSPENSION - BRAZO PITMAN;500;Y;62;\N;\N
530;SUSPENSION - BIELETAS DELANTERAS Y TRASERAS;500;Y;61;\N;\N
531;EMBRAGUE - RULEMAN DE EMPUJE;500;Y;24;\N;\N
532;FAROS - GIROS O ESQUINEROS - TYC Y DEPO;500;Y;27;\N;\N
533;FAROS - TRASEROS - TYC Y DEPO;500;Y;28;\N;\N
534;EMBLEMAS;500;Y;21;\N;\N
535;TERMOSTATOS;500;Y;74;\N;\N
536;BUJIAS PREENCENDIDO - DREIK TAIWAN;500;Y;10;\N;\N
537;SUSPENSION - EJE DE PARRILLA;500;Y;67;\N;\N
538;MANGUERAS VARIAS;500;Y;45;\N;\N
539;BUJIAS PREENCENDIDO - HKT JAPON;500;Y;9;\N;\N
540;SUSPENSION - BUJES DE;500;Y;64;\N;\N
541;BULBOS - TAMA JAPON;500;Y;11;\N;\N
542;SUSPENSION - BARRAS CENTRALES;500;Y;60;\N;\N
543;PALETAS DE VENTILADOR;500;Y;47;\N;\N
544;MAZAS DE RUEDA CON BULONES;500;Y;46;\N;\N
545;EMBRAGUE - BOMBIN DE - BGF;500;Y;23;\N;\N
546;FRENO - PASTILLAS Y ZAPATAS;500;Y;34;\N;\N
547;TAPAS CUBRE CORREAS;500;Y;72;\N;\N
549;FRENO - BOMBAS DE - BGF;500;Y;31;\N;\N
0;L.MOTOR;\N;Y;2;\N;\N
1;BOMBA DE ACEITE JUEGO DE REPARACION  YSK;0;Y;15;\N;\N
2;BUJES DE ARBOL DE LEVAS - JUEGOS DE;0;Y;21;\N;\N
305;GARGANTAS, PORTATERMOSTATOS Y PIPAS;500;Y;40;\N;\N
5;MULTIPLES;0;Y;79;\N;\N
6;CAÑO INYECTOR DE ACEITE;0;Y;29;\N;\N
7;BUJES DE BALANCEADOR -JUEGOS DE;0;Y;22;\N;\N
8;POLEAS;0;Y;84;\N;\N
9;ARBOL BALANCEADOR;0;Y;2;\N;\N
575;SUSPENSION - CAZOLETAS DE AMORTIGUADOR;500;Y;65;\N;\N
11;VALVULAS - PASTILLAS REGULADORA DE;0;Y;107;\N;\N
903;INSTALACION BOMBA DE AGUA;900;Y;508;\N;\N
904;DESGASTE DE CAMISAS;900;Y;507;\N;\N
14;COJINETES DE BIELA-JUEGO DE - NDC - LLE - TDC;0;Y;35;\N;\N
905;CATALOGO DE POLEAS;900;Y;509;\N;\N
16;SUBCONJUNTOS CON AROS JAPON;0;Y;91;\N;\N
601;ENCAMISADO MOTOR ISUZU 4JA1-4JB1 Y 4JG2;900;Y;511;\N;\N
18;CAÑO RETORNO DE GASOIL;0;Y;28;\N;\N
19;DISTRIBUCIO - FRENTES DE;0;Y;46;\N;\N
20;BIELAS BRAZOS DE;0;Y;9;\N;\N
21;BALANCINES;0;Y;7;\N;\N
22;ARBOL DE LEVAS JUEGO DE TORRETAS;0;Y;3;\N;\N
103;HOMOCINETICAS;500;Y;43;\N;\N
78;MANIJAS DE PUERTAS;500;Y;44;\N;\N
25;VALVULA DE ADMISION S.ICHI - DOKURO;0;Y;101;\N;\N
26;PERNO DE PISTON;0;Y;80;\N;\N
27;DISTRIBUCION - KIT COMPLETO;0;Y;49;\N;\N
28;BULONES VARIOS;0;Y;25;\N;\N
29;BUJES DE BIELA-JUEGOS DE;0;Y;23;\N;\N
30;TAPAS DE CILINDRO;0;Y;96;\N;\N
31;TOBERAS;0;Y;97;\N;\N
33;AROS TAIWAN JUEGO DE;0;Y;4;\N;\N
34;VALVULAS - JUEGO DE GUIAS DE;0;Y;104;\N;\N
35;DISTRIBUCION - ENGRANAJE DE;0;Y;45;\N;\N
36;BALANCINES - EJE DE;0;Y;8;\N;\N
37;CONJUNTOS RIK JAPON;0;Y;40;\N;\N
38;BOMBA DE ACEITE YSK - TBK - NOZUMI;0;Y;12;\N;
39;JUNTAS - JUEGOS DE JUNTAS COMPLETO CON RETENES - ERISTIC - MATTO;0;Y;73;\N;\N
40;AROS JAPON TP-RIK-NPR-NOZUMI JUEGO DE;0;Y;5;\N;
41;JUNTAS DE ADMISION Y ESCAPE;0;Y;77;\N;\N
42;SUBCONJUNTOS CON AROS TAIWAN;0;Y;90;\N;\N
43;VALVULA DE ESCAPE S.ICHI - DOKURO;0;Y;102;\N;\N
46;SUBCONJUNTOS OFERTA IMPORTADO FM;0;Y;92;\N;\N
47;JUNTAS VARIAS;0;Y;78;\N;\N
49;CAMISA;0;Y;26;\N;\N
50;BOMBA DE ACEITE ENGRANAGE MANDO DE YSK;0;Y;16;\N;\N
53;BOMBAS DE ACEITE - CADENA DE;0;Y;14;\N;\N
54;COJINETES DE BANCADA-JUEGO DE - NDC - LLE - TDC;0;Y;33;\N;\N
56;DISTRIBUCION - TENSORES HIDRAULICO;0;Y;52;\N;\N
57;PRECAMARA;0;Y;85;\N;\N
58;CONJUNTOS CON ARO JAPON;0;Y;37;\N;\N
59;VALVULAS - VARILLA LEVANTADORA DE;0;Y;106;\N;\N
60;CONJUNTOS OFERTA IMPORTADO FM;0;Y;38;\N;\N
61;JUNTAS TAPA DE VALVULAS;0;Y;76;\N;\N
63;CORONAS DE ARRANQUE;0;Y;39;\N;\N
64;DISTRIBUCIO - GUIAS TENSORAS;0;Y;47;\N;\N
66;DISTRIBUCION- TENSORES DE CADENA;0;Y;50;\N;\N
67;PISTONES CON PERNO TIK Y NOZUMI;0;Y;81;\N;
